column_name,attribute
radius_se,0.9806
radius_se,0.9317
radius_se,0.8973
radius_se,1.215
radius_se,1.509
radius_se,1.296
radius_se,1.0
radius_se,1.088
radius_se,0.8601
radius_se,2.873
radius_se,0.9553
radius_se,1.058
radius_se,1.004
radius_se,1.292
radius_se,1.172
radius_se,1.167
radius_se,0.8811
radius_se,1.111
radius_se,1.072
radius_se,1.009
radius_se,0.9948
radius_se,0.9761
radius_se,1.207
radius_se,1.008
radius_se,1.37
radius_se,0.9291
radius_se,2.547
radius_se,0.9289
radius_se,1.291
radius_se,0.9915
radius_se,0.9622
radius_se,1.176
texture_se,3.568
texture_se,2.91
texture_se,3.12
texture_se,2.508
texture_se,2.664
texture_se,4.885
texture_se,2.612
texture_se,2.454
texture_se,2.777
texture_se,2.509
texture_se,2.836
texture_se,2.878
texture_se,2.542
texture_se,2.643
texture_se,3.647
texture_se,2.635
texture_se,2.927
texture_se,2.904
texture_se,3.896
texture_se,2.463
perimeter_se,8.589
perimeter_se,11.07
perimeter_se,7.276
perimeter_se,8.077
perimeter_se,8.83
perimeter_se,6.311
perimeter_se,8.649
perimeter_se,7.382
perimeter_se,10.05
perimeter_se,9.807
perimeter_se,8.419
perimeter_se,6.971
perimeter_se,7.337
perimeter_se,7.029
perimeter_se,21.98
perimeter_se,6.487
perimeter_se,7.247
perimeter_se,6.372
perimeter_se,7.158
perimeter_se,10.12
perimeter_se,6.146
perimeter_se,7.749
perimeter_se,8.867
perimeter_se,7.237
perimeter_se,7.804
perimeter_se,6.076
perimeter_se,6.462
perimeter_se,7.222
perimeter_se,7.128
perimeter_se,7.733
perimeter_se,7.561
perimeter_se,9.424
perimeter_se,6.051
perimeter_se,18.65
perimeter_se,9.635
perimeter_se,7.05
perimeter_se,8.758
perimeter_se,7.673
area_se,153.4
area_se,94.03
area_se,94.44
area_se,116.2
area_se,112.4
area_se,93.99
area_se,102.6
area_se,111.4
area_se,93.54
area_se,105.0
area_se,106.0
area_se,104.9
area_se,98.81
area_se,102.5
area_se,96.05
area_se,134.8
area_se,116.4
area_se,120.0
area_se,87.87
area_se,170.0
area_se,90.47
area_se,233.0
area_se,101.9
area_se,93.91
area_se,119.3
area_se,97.07
area_se,97.85
area_se,122.3
area_se,128.7
area_se,111.7
area_se,525.6
area_se,124.4
area_se,109.9
area_se,155.8
area_se,137.9
area_se,92.81
area_se,106.4
area_se,138.5
area_se,90.94
area_se,199.7
area_se,156.8
area_se,133.0
area_se,130.8
area_se,87.17
area_se,88.25
area_se,164.1
area_se,153.1
area_se,103.6
area_se,224.1
area_se,130.2
area_se,176.5
area_se,103.9
area_se,115.2
area_se,542.2
area_se,104.9
area_se,89.74
area_se,95.77
area_se,180.2
area_se,139.9
area_se,100.4
area_se,87.78
area_se,118.8
area_se,158.7
area_se,99.04
area_se,86.22
smoothness_se,0.01721
smoothness_se,0.0134
smoothness_se,0.01385
smoothness_se,0.01291
smoothness_se,0.01835
smoothness_se,0.02333
smoothness_se,0.01496
smoothness_se,0.01286
smoothness_se,0.01439
smoothness_se,0.0138
smoothness_se,0.01345
smoothness_se,0.03113
smoothness_se,0.01604
smoothness_se,0.0138
smoothness_se,0.01418
smoothness_se,0.01574
smoothness_se,0.02075
smoothness_se,0.01289
smoothness_se,0.01736
smoothness_se,0.01582
smoothness_se,0.01474
smoothness_se,0.01307
smoothness_se,0.01459
smoothness_se,0.02177
smoothness_se,0.01262
smoothness_se,0.01546
smoothness_se,0.01288
smoothness_se,0.01266
smoothness_se,0.01547
smoothness_se,0.01291
compactness_se,0.07458
compactness_se,0.07217
compactness_se,0.08297
compactness_se,0.1006
compactness_se,0.07056
compactness_se,0.08606
compactness_se,0.09368
compactness_se,0.06835
compactness_se,0.08668
compactness_se,0.07446
compactness_se,0.0676
compactness_se,0.09806
compactness_se,0.09586
compactness_se,0.08808
compactness_se,0.1354
compactness_se,0.08555
compactness_se,0.08262
compactness_se,0.1064
compactness_se,0.0659
compactness_se,0.06559
compactness_se,0.07643
compactness_se,0.06669
compactness_se,0.06213
compactness_se,0.06657
compactness_se,0.07025
compactness_se,0.07471
compactness_se,0.06457
compactness_se,0.06158
concavity_se,0.0889
concavity_se,0.09723
concavity_se,0.3038
concavity_se,0.1091
concavity_se,0.104
concavity_se,0.1435
concavity_se,0.09263
concavity_se,0.1278
concavity_se,0.396
concavity_se,0.1197
concavity_se,0.1166
concavity_se,0.08958
concavity_se,0.1438
concavity_se,0.0888
concavity_se,0.09518
concavity_se,0.0996
concavity_se,0.1027
concavity_se,0.09953
concavity_se,0.1535
concavity_se,0.09472
concavity_se,0.1114
concavity_se,0.09252
concave_points_se,0.0409
concave_points_se,0.02638
concave_points_se,0.03322
concave_points_se,0.02593
concave_points_se,0.02801
concave_points_se,0.05279
concave_points_se,0.02794
concave_points_se,0.02765
concave_points_se,0.03927
concave_points_se,0.03024
concave_points_se,0.03487
concave_points_se,0.02771
concave_points_se,0.02536
concave_points_se,0.02919
concave_points_se,0.03441
concave_points_se,0.02598
concave_points_se,0.02721
concave_points_se,0.02853
concave_points_se,0.02624
symmetry_se,0.05963
symmetry_se,0.04484
symmetry_se,0.03672
symmetry_se,0.05333
symmetry_se,0.04183
symmetry_se,0.04192
symmetry_se,0.04197
symmetry_se,0.07895
symmetry_se,0.05014
symmetry_se,0.04547
symmetry_se,0.05168
symmetry_se,0.05628
symmetry_se,0.0388
symmetry_se,0.05113
symmetry_se,0.03799
symmetry_se,0.04783
symmetry_se,0.04499
symmetry_se,0.04077
symmetry_se,0.06146
symmetry_se,0.04022
symmetry_se,0.04243
symmetry_se,0.03756
symmetry_se,0.03675
symmetry_se,0.05543
symmetry_se,0.0371
symmetry_se,0.03997
symmetry_se,0.03759
fractal_dimension_se,0.009208
fractal_dimension_se,0.01008
fractal_dimension_se,0.01284
fractal_dimension_se,0.008093
fractal_dimension_se,0.009559
fractal_dimension_se,0.02193
fractal_dimension_se,0.01039
fractal_dimension_se,0.01298
fractal_dimension_se,0.009875
fractal_dimension_se,0.009423
fractal_dimension_se,0.009368
fractal_dimension_se,0.01178
fractal_dimension_se,0.02984
fractal_dimension_se,0.01792
fractal_dimension_se,0.01172
fractal_dimension_se,0.01256
fractal_dimension_se,0.008675
fractal_dimension_se,0.00866
fractal_dimension_se,0.02286
fractal_dimension_se,0.0122
fractal_dimension_se,0.01233
fractal_dimension_se,0.008925
fractal_dimension_se,0.008133
fractal_dimension_se,0.0113
fractal_dimension_se,0.009627
fractal_dimension_se,0.01045
fractal_dimension_se,0.01148
fractal_dimension_se,0.008313
radius_worst,29.17
radius_worst,30.0
radius_worst,28.4
radius_worst,28.01
radius_worst,33.12
radius_worst,28.11
radius_worst,27.9
radius_worst,31.01
radius_worst,32.49
radius_worst,28.19
radius_worst,30.67
radius_worst,33.13
radius_worst,30.75
radius_worst,27.66
radius_worst,36.04
radius_worst,30.79
radius_worst,29.92
texture_worst,45.41
texture_worst,44.87
texture_worst,49.54
texture_worst,47.16
texture_worst,42.79
perimeter_worst,188.0
perimeter_worst,211.7
perimeter_worst,206.8
perimeter_worst,220.8
perimeter_worst,188.5
perimeter_worst,206.0
perimeter_worst,214.0
perimeter_worst,195.9
perimeter_worst,202.4
perimeter_worst,229.3
perimeter_worst,199.5
perimeter_worst,195.0
perimeter_worst,251.2
perimeter_worst,211.5
perimeter_worst,205.7
area_worst,2019.0
area_worst,1956.0
area_worst,2398.0
area_worst,2615.0
area_worst,2215.0
area_worst,2145.0
area_worst,2562.0
area_worst,2360.0
area_worst,2073.0
area_worst,2232.0
area_worst,2403.0
area_worst,3216.0
area_worst,2089.0
area_worst,1986.0
area_worst,2499.0
area_worst,2009.0
area_worst,2477.0
area_worst,2944.0
area_worst,2010.0
area_worst,1972.0
area_worst,3432.0
area_worst,2384.0
area_worst,2053.0
area_worst,1938.0
area_worst,2906.0
area_worst,3234.0
area_worst,3143.0
area_worst,2227.0
area_worst,1946.0
area_worst,2081.0
area_worst,2022.0
area_worst,4254.0
area_worst,2782.0
area_worst,2642.0
area_worst,2027.0
smoothness_worst,0.2098
smoothness_worst,0.1909
smoothness_worst,0.07117
smoothness_worst,0.2226
smoothness_worst,0.2184
smoothness_worst,0.1902
smoothness_worst,0.2006
compactness_worst,0.6656
compactness_worst,0.8663
compactness_worst,1.058
compactness_worst,0.7725
compactness_worst,0.6577
compactness_worst,0.6643
compactness_worst,0.659
compactness_worst,0.7444
compactness_worst,0.7394
compactness_worst,0.6997
compactness_worst,0.7584
compactness_worst,0.9327
compactness_worst,0.9379
compactness_worst,0.709
compactness_worst,0.7917
compactness_worst,0.8681
concavity_worst,1.105
concavity_worst,1.252
concavity_worst,0.9608
concavity_worst,0.8216
concavity_worst,0.8488
concavity_worst,0.7892
concavity_worst,0.8489
concavity_worst,0.8402
concavity_worst,0.9034
concavity_worst,0.9019
concavity_worst,1.17
concavity_worst,0.9387
symmetry_worst,0.4601
symmetry_worst,0.6638
symmetry_worst,0.4378
symmetry_worst,0.4366
symmetry_worst,0.4218
symmetry_worst,0.4667
symmetry_worst,0.4264
symmetry_worst,0.4761
symmetry_worst,0.427
symmetry_worst,0.4863
symmetry_worst,0.467
symmetry_worst,0.4228
symmetry_worst,0.544
symmetry_worst,0.4882
symmetry_worst,0.5774
symmetry_worst,0.5166
symmetry_worst,0.4753
symmetry_worst,0.4432
symmetry_worst,0.4724
symmetry_worst,0.5558
symmetry_worst,0.4245
symmetry_worst,0.4824
symmetry_worst,0.4677
fractal_dimension_worst,0.173
fractal_dimension_worst,0.1244
fractal_dimension_worst,0.2075
fractal_dimension_worst,0.1431
fractal_dimension_worst,0.1341
fractal_dimension_worst,0.1275
fractal_dimension_worst,0.1402
fractal_dimension_worst,0.1233
fractal_dimension_worst,0.1339
fractal_dimension_worst,0.1405
fractal_dimension_worst,0.1252
fractal_dimension_worst,0.1486
fractal_dimension_worst,0.1259
fractal_dimension_worst,0.1284
fractal_dimension_worst,0.1446
fractal_dimension_worst,0.1243
fractal_dimension_worst,0.1297
fractal_dimension_worst,0.1297
fractal_dimension_worst,0.1403
fractal_dimension_worst,0.1249
fractal_dimension_worst,0.1252
fractal_dimension_worst,0.1364
fractal_dimension_worst,0.1409
fractal_dimension_worst,0.124
